Date,Cases,Deaths,Recovered
2/26/2020,3,0,0
2/27/2020,3,0,0
2/28/2020,3,0,0
2/29/2020,5,0,0
3/1/2020,5,0,0
3/2/2020,6,0,0
3/3/2020,6,0,0
3/4/2020,6,0,0
3/5/2020,6,0,0
3/6/2020,6,0,1
3/7/2020,7,0,1
3/8/2020,9,0,1
3/9/2020,18,0,1
3/10/2020,19,0,1
3/11/2020,20,0,2
3/12/2020,21,0,2
3/13/2020,28,0,3
3/14/2020,31,0,3
3/15/2020,53,0,3
3/16/2020,187,0,4
3/17/2020,238,0,4
3/18/2020,302,2,5
3/19/2020,457,2,5
3/20/2020,534,3,5
3/21/2020,646,3,5
3/22/2020,803,6,6
3/23/2020,892,6,6
3/24/2020,1000,7,19
3/25/2020,1102,8,21
3/26/2020,1235,9,23
3/27/2020,1405,11,25
3/28/2020,1526,13,28
3/29/2020,1625,18,32
3/30/2020,1861,25,58
3/31/2020,2039,26,82
4/1/2020,2289,31,107
4/2/2020,2450,35,126
4/3/2020,2708,40,130
4/4/2020,2880,45,170
4/5/2020,3287,50,257
4/6/2020,3864,54,429
4/7/2020,4074,58,467
4/8/2020,4317,63,572
4/9/2020,4598,66,727
4/10/2020,4784,71,762
4/11/2020,5038,86,1026
4/12/2020,5374,93,1095
4/13/2020,5716,96,1378
4/14/2020,5985,107,1446
4/15/2020,6528,124,1645
4/16/2020,7016,135,1765
4/17/2020,7479,143,1832
4/18/2020,7993,159,1868
4/19/2020,8420,176,1970
4/20/2020,9216,192,2066
4/21/2020,9771,209,2156
4/22/2020,10513,224,2337
4/23/2020,11155,237,2527
4/24/2020,11940,253,2755
4/25/2020,12723,269,2866
4/26/2020,13328,281,3029
4/27/2020,14079,301,3233
4/28/2020,14885,327,3425
4/29/2020,15827,361,4052
4/30/2020,16817,385,4315
